"title";"unit";"in_storage";"type";"cost";"weight"
"Свеча-цифра 23046-0";"шт";10;"Свечи";"0";"0"
"Цифра-свеча ""3""";"шт";10;"Свечи";"0";"0"
"Цифра-свеча ""8""";"шт";8;"Свечи";"0";"0"
"Веточки из бумаги (свет-зел)  d0,7мм L25см 12328";"упак";8;"Атрибутика";"0";"0"
"Веточки из бумаги (тёмн-зел) d0,7 мм L25см 12329";"упак";5;"Атрибутика";"0";"0"
"лента для цветов бумажная 0,7см 250м БЕЛАЯ  12330";"шт";1;"Атрибутика";"0";"0"
"лента для цветов бумажная 0,7см 250м корич  12332";"рулон";1;"Атрибутика";"0";"0"
"Лента на торт СЕРЕБРЯННАЯ (10м) 24192";"шт";4;"Атрибутика";"0";"0"
"Проволока конд. №18 корич 20шт. 36см  43514";"шт";8;"Атрибутика";"0";"0"
"Проволока конд. №20 зеленая  20шт. 36см 43508";"шт";1;"Атрибутика";"0";"0"
"Тычинки красные (пучок-50шт.) мелкие РМЕ т42";"упак";5;"Атрибутика";"0";"0"
"Тычинки перламутровые (пучок-50шт.) мелкие РМЕ т38";"упак";10;"Атрибутика";"0";"0"
"Тычинки перламутровые (пучок-50шт.) средние РМЕ т37";"упак";10;"Атрибутика";"0";"0"
"Тычинки розовые (пучок-50шт.) мелкие РМЕ т43";"упак";9;"Атрибутика";"0";"0"
"Фигурка новорожденный h5см  31603";"шт";5;"Атрибутика";"0";"0"
"Фигурка свадебная TG 660743";"шт";6;"Атрибутика";"0";"0"
"Фигурка свадебная AY62691U-7   h26 d10 см c подсветкой Модерн";"шт";5;"Атрибутика";"0";"0"
"Фигурка свадебная AY78085-4 Н25 d8см Модерн";"шт";10;"Атрибутика";"0";"0"
"Фигурка свадебная AY78088-1 Н20 d7см Модерн";"шт";1;"Атрибутика";"0";"0"
"Фигурка свадебная AY78092L-1 Н24 d12см с подсветк.";"шт";6;"Атрибутика";"0";"0"
"Фигурка свадебная h25 d18 см пластик 1HYM07";"шт";9;"Атрибутика";"0";"0"
"Фигурка свадебная h25 d8 см с подсв.AY78091L-1";"шт";10;"Атрибутика";"0";"0"
"Фигурка свадебная MRH38385 фарфор h14d9см";"шт";5;"Атрибутика";"0";"0"
"Фигурка свадебная MRH38392 d10см Фарфор";"шт";5;"Атрибутика";"0";"0"
"Фигурка свадебная MRH38453 d9см Фарфор";"шт";5;"Атрибутика";"0";"0"
"Фигурка свадебная MRH38469 фарфор h13d8см";"шт";7;"Атрибутика";"0";"0"
"Фигурка свадебная Н22 d8см Пластик 1916300";"шт";8;"Атрибутика";"0";"0"
"Фигурка Свадебная пара 8х16х8 на кабриолете пластик 071679";"шт";1;"Атрибутика";"0";"0"
"Фигурка свадебная SG013506 ГОЛУБИ";"шт";4;"Атрибутика";"0";"0"
"Фигурка свадебная  ТG660420 пара ссердцем 31621";"шт";9;"Атрибутика";"0";"0"
"Фигурка свадебная ТG660773 пара в белом 31623 14/6";"шт";2;"Атрибутика";"0";"0"
"Диски белые Карибе";"кг";6;"Шоколад";"0";"0"
"Диски темные Ariiba Fondente Dischi 57 (36/38)";"кг";8;"Шоколад";"0";"0"
"Диски шоколадные Карибе";"кг";6;"Шоколад";"0";"0"
"Крошка декор.КАПУЧИНО глянцевая 3 кг";"кг";5;"Шоколад";"0";"0"
"Какао алкализ. Малайзия";"кг";3;"Какао";"0";"0"
"Какао алкализ Кот Д-Ивуар Сargill АМ 70";"кг";1;"Какао";"0";"0"
"Какао алкализован. POR10G9 Франция";"кг";7;"Какао";"0";"0"
"Какао-порошок натур. Россия";"кг";10;"Какао";"0";"0"
"Какао-порошок Элитный натур.";"кг";10;"Какао";"0";"0"
"Какао натуральное Франция PON 10-В2";"кг";3;"Какао";"0";"0"
"Вафельная РОЗА  большая Микс (56шт/уп)";"упак";1;"Вафельные украшения";"0";"0"
"Вафельная РОЗА большая сложная микс (28шт/уп)";"упак";7;"Вафельные украшения";"0";"0"
"Вафельная РОЗА малая (160шт/уп) Малина";"упак";8;"Вафельные украшения";"0";"0"
"Вафельная РОЗА малая сложная чай (80шт/уп)";"упак";6;"Вафельные украшения";"0";"0"
