title;unit;in_storage;type;cost;gost;fasovka;characteristic;main_provider
Мука Сокольническая;шт;0;Мука;3250;; 1 кг;;1
Мука высший сорт ;шт;0;Мука;20;;50 кг;;1
Мука пшеничная (1 сорт, высший сорт);шт;0;Мука;0;;;;1
Мука "Макфа" в/с ;шт;0;Мука;27820;;10 кг;;1
Мука пшеничная высший сорт;шт;0;Мука;0;;;;1
Мука Высшего сорта;шт;0;Мука;1550;;;;1
Мука пшеничная;шт;0;Мука;0;;;;1
Мука пшеничная Гост высший сорт;шт;0;Мука;0;;5, 10. 50 кг;;1
Мука хлебопекарная в/с (ГОСТ);шт;0;Мука;14100;;;;1
Мука хлебопекарная I/c (ГОСТ);шт;0;Мука;13600;;;;1
Мука хлебопекарная II/c (ГОСТ);шт;0;Мука;13400;;;;1
Мука хлебопекарная пшеничная обойная;шт;0;Мука;14600;;;;1
Мука ржаная сеяная;шт;0;Мука;11900;;;;1
Мука ржаная обдирная;шт;0;Мука;10300;;;;1
Мука хлебопекарная ржаная цельная;шт;0;Мука;10300;;;;1
Мука ржаная обойная;шт;0;Мука;10300;;;;1
Мука овсяная;шт;0;Мука;17700;;;;1
Мука пшеничная в/с ГОСТ;т;0;Мука;14000;;;кл.28,бел.58-61,ИДК-75-85;1
Мука пшеничная ТУ;шт;0;Мука;0;;;кл.24-27,бел.42-58,ИДК-75-85;1
Мука пшеничная 1-ый сорт ГОСТ;шт;0;Мука;0;;;кл.30,бел.42-48,ИДК-75-85;1
Мука ржаная;шт;0;Мука;0;;;;1
сеяная;шт;0;Мука;0;;;;1
Мука 2-ой сорт ГОСТ;шт;0;Мука;0;;;кл.25,бел.15-20,ИДК 90;1
Сахар кусковой твердый прес. (1х0,4кг)х30;шт;0;Сахар;288;;;;1
Сахар кусковой твердый прес. (1х0,8кг)х15;шт;0;Сахар;482;;;;1
Сахар леденцовый белый Confer (1х0,15кг)х16;шт;0;Сахар;542;;;;1
Сахар леденцовый коричневый Confer (1х0,15кг)х16;шт;0;Сахар;621;;;;1
Сахар порционный ( 1х 5 г ) х 1500;шт;0;Сахар;5;;;;1
Сахар рафинад («Ленсахар») 90 ( 1х0,5кг) х 40;шт;0;Сахар;259;;;;1
Сахар рафинад , «Русский сахар» ( 1х0,5кг ) х 40;шт;0;Сахар;28;;;;1
Сахар рафинад , «Русский сахар» ( 1х1кг ) х 20;шт;0;Сахар;505;;;;1
Сахар рафинад , «Чайкофский» ( 1х0,5кг ) х 40;шт;0;Сахар;302;;;;1
Сахар рафинад , «Чайкофский» ( 1х1кг ) х 20;шт;0;Сахар;57;;;;1
Сахар рафинад , «Чайкофский», фигурн. ( 1х0,5кг ) х 12;шт;0;Сахар;462;;;;1
Сахар-песок весовой (1 х 1кг) х 50;шт;0;Сахар;465;;;;1
Сахар-песок тёмно-коричневый. п/пак ( 1х0,9кг ) х 10 «Брауни»;шт;0;Сахар;989;;;;1
Сахар-песок фас. в п/пак. ( 1х1кг ) х 12 «Русский»;шт;0;Сахар;538;;;;1
Сахар-песок фас. (Расф.)  в п/пак. ( 1х1кг ) х 21;шт;0;Сахар;45;;;;1
Сахар-песок фас.б/пак ( 1х0,9кг ) х 10 «Чайкофский»;шт;0;Сахар;454;;;;1
Соль «Помол 1» ( 1х1 кг) х 18;шт;0;Соль;169;;;;1
Соль поваренная пищевая мелкая высший сорт (1 х 1кг) х 18;шт;0;Соль;213;;;;1
Соль в солонке  (1х500 г) х 10;шт;0;Соль;304;;;;1
Соль в солонке йод. ( 1х 500 г ) х 20;шт;0;Соль;306;;;;1
Соль в солонке йод. ( 1х250 г ) х 21;шт;0;Соль;272;;;;1
Соль поваренная пищевая мелкая йодированная высший сорт (1х1кг) х 18, «Салина»;шт;0;Соль;218;;;;1
разрыхлитель теста 10г Спецаромат;шт;0;Разрыхлитель;103;;;;1
разрыхлитель теста 12г Агроимпорт;шт;0;Разрыхлитель;124;;;;1
разрыхлитель теста 12г Премьер;шт;0;Разрыхлитель;124;;;;1
разрыхлитель теста 18г Цикория;шт;0;Разрыхлитель;13;;;;1
Обычное яйцо перепелиное;упак;0;Яйца;45;;;;1
Отборное яйцо перепелиное;упаковка;0;Яйца;60;;;;1
Яйцо второй категории  (45-55 гр.);шт;0;Яйца;37.00;;;;1
Яйцо первой категории (55-65  гр.);шт;0;Яйца;42.00;;;;1
Яйцо отборной категории (65-75 гр.);шт;0;Яйца;44.00;;;;1
Яйцо высшей категории (75-90 гр.);шт;0;Яйца;50.00;;;;1
Масло "Крестьянское" весовое;кг;0;Масло;0;ГОСТ 37-91;;;1
Масло "Крестьянское" в кашированной фольге 170 гр.;шт;0;Масло;0;ГОСТ 37-91;;;1
Масло шоколадное весовое;кг;0;Масло;0;ГОСТ 6822-67;;;1
Масло шоколадное в кашированной фольге 200гр;шт;0;Масло;0;ГОСТ 6822-67;;;1
Спред "Кубанский" весовой;кг;0;Спред;0;ТУ 9148-003-49464 828-04;;;1
Спред "Кубанский" в фольге 170 гр.;шт;0;Спред;0;ТУ 9148-003-49464 828-04;;;1
Спред "Кубанский" 82,5% жирн. весовой.;кг;0;Спред;0;ТУ 9148-003-49464 828-04;;;1
Спред "Кубанский" 82,5% жирн. в фольге 170 гр.;шт;0;Спред;0;ТУ 9148-003-49464828-04;;;1
Молоко паст. "Краснодарское" 3.2 % жирн. во флягах;кг;0;Молоко;0;ТУ 9222-001-49464 828;;;1
Молоко паст. "Краснодарское" 2,5 % жирн. во флягах;л;0;Молоко;0;ТУ 9222-001-49464 828-04;;;1
Молоко пастер. "Краснодарское" 2,5% жирн. в пленке 1л;шт;0;Молоко;0;ТУ 9222-001-49464 828-04;;;1
Молоко пастер. "Краснодарское" 2,5% жирн. в пленке 0,5л;шт;0;Молоко;0;ТУ 9222-001-49464 828-04;;;1
Молоко пастер. "Краснодарское" 3,2% жирн. в пленке 1 л.;шт;0;Молоко;0;ТУ 9222-001-49464 828-04;;;1
Молоко пастер. "Краснодарское" 3,2% жирн. в пакетах Пюр-Пак 1 л;шт;0;Молоко;0;ТУ 9222-001-49464 828-04;;;1
Молоко цельное отборное пастер. 3,5% жирн. Lean Рack 1л.;шт;0;Молоко;0;ТУ 9222-001-49464 828-04;;;1
Кефир 2,5% жирн. в пленке 500 гр.;шт;0;Кефир;0;ТУ 9222-356-00419 785-04;;;1
Кефир 2,5% жирн. в пленке 1000 гр.;шт;0;Кефир;0;ГОСТ Р 52093-2003;;;1
Кефир 2,5% жирн. в пакетах Пюр-Пак 1000 гр.;шт;0;Кефир;0;ГОСТ Р 52093-2003;;;1
Кефир 2,5% жирн. в пакетах Пюр-Пак 500 гр.;шт;0;Кефир;0;ГОСТ Р 52093-2003;;;1
Кефир 2,5% жирн. в пакетах Пюр-Пак 200 гр.;шт;0;Кефир;0;ГОСТ Р 52093-2003;;;1
Кефир 2,5% жирн. в пакетах Lean Рack 1000 гр.;шт;0;Кефир;0;ГОСТ Р 52093-2003;;;1
Кефир 3,2% жирн. в пакетах Lean Рack 1000 гр.;шт;0;Кефир;0;ГОСТ Р 52093-2003;;;1
Сливки 10% жирн. в пакетах Пюр-Пак 500 гр.;шт;0;Сливки;0;ГОСТ Р 52091-2003;;;1
Сливки 20% жирн. во флягах;кг;0;Сливки;0;ГОСТ Р 52091-2003;;;1
Сметана 15% жирн. вес.;кг;0;Сметана;0;ТУ 9222-355-00419 785-04;;;1
Сметана 15% жирн. в полист. стаканчиках 240 гр.;шт;0;Сметана;0;ТУ-9222-355-00419 785-04;;;1
Сметана 15% жирн. в полист. стаканчиках 470 гр.;шт;0;Сметана;0;ТУ-9222-355-00419 785-04;;;1
Сметана 20% жирн. вес.;кг;0;Сметана;0;ТУ 9222-355-00419 785-04;;;1
Сметана 20% жирн. в полистироловых стаканчиках 100 гр.;шт;0;Сметана;0;ТУ 10,02,02,789-89;;;1
Сметана 20 % жирн. в полист. стак. 240гр.;шт;0;Сметана;0;ТУ-9222-355-00419 785-04;;;1
Сметана 20% жирн. в полист. стаканчиках 240 гр. (герм. упак.);шт;0;Сметана;0;ТУ-9222-355-00419 785-04;;;1
Сметана 20% жирн. в полист. стаканчиках 470 гр.;шт;0;Сметана;0;ТУ-9222-355-00419 785-04;;;1
Сметана 20% жирн. в пленке 470 гр.;шт;0;Сметана;0;ТУ 9222-355-00419 785-04;;;1
Сметана 20% жирн. в пленке 250 гр.;шт;0;Сметана;0;ТУ 9222-355-00419 785-04;;;1
Сметана 20% жирн. ведро 900 гр;шт;0;Сметана;0;ТУ 9222-355-00419 785-04;;;1
"Сметанка из крынки" 20% жирн. 240гр;шт;0;Сметана;0;ТУ 9222-355-00419 785-04;;;1
"Сметанка из крынки" 20% жирн. в п/с 470гр;шт;0;Сметана;0;ТУ 9222-355-00419 785-04;;;1
Сметанка из крынки 20% жирн. ведро 600гр;шт;0;Сметана;0;ТУ 9222-355-00419 785-04;;;1
Сметанка из крынки 20% жирн. ведро 900г;шт;0;Сметана;0;ТУ 9222-355-00419 785-04;;;1
"Сметанка из крынки" 20% жирн. вес.;кг;0;Сметана;0;ТУ 9222-355-00419 785-04;;;1
"Сметанка из крынки" 20% жирн. термизир. п/с 240гр;шт;0;Сметана;0;ТУ 9222-355-00419 785-04;;;1
Масса твор."Солнышко Кубани" 23% жирн. сладкая с изюмом весовая;кг;0;Масса творожная;0;ТУ 9222-030-00439 888-03;;;1
Масса твор. "Солнышко Кубани"23% жирн.сладкая с изюмом в фольге 100 гр;шт;0;Масса творожная;0;ТУ 9222-030-00439 888-03;;;1
Масса твор."Солнышко Кубани" 23% жирн.сладк.с курагой в фольге 100 гр;шт;0;Масса творожная;0;ТУ 9222-030-00439 888-03;;;1
Твор.масса "Солнышко Кубани" 23% жирн. с изюм. вес.;кг;0;Масса творожная;0;ТУ 9222-030-00439 888-05;;;1
Творог "Гулькевичский" нежирный вес.;кг;0;Творог;0;ТУ 9220-002-49464828-04;;;1
Творог "Гулькевичский" нежирный в перг. 250 гр.;шт;0;Творог;0;ТУ 9220-002-49464828-04;;;1
Творог 5% жирн. весовой;кг;0;Творог;0;ТУ 9222-180-00419 785-99;;;1
Творог 5% жирн. "Гулькевичский" вес.;кг;0;Творог;0;ТУ 9220-002-49464 828-04;;;1
Творог 5% жирн. "Гулькевичский" в перг. 250 гр.;шт;0;Творог;0;ТУ 9220-002-49464 828-04;;;1
Творог 5% жирн. "Гулькевичский" в пленке 250 гр.;шт;0;Творог;0;ТУ 9220-002-49464 828-04;;;1
Творог 5% жирн. "Гулькевичский" брикет 250 гр.;шт;0;Творог;0;ТУ 9220-002-49464 828-04;;;1
Творог 5% жирн. "Гулькевичский" в барьерной пленке 500гр.;шт;0;Творог;0;ТУ 9220-002-49464 828-04;;;1
Творог 5% жирн. "Гулькевичский" барьерный пакет 5 кг;шт;0;Творог;0;ТУ 9220-002-49464 828-04;;;1
Творог 9% жирн. вес.;кг;0;Творог;0;ТУ 9222-180-00419 785-99;;;1
Творог 9% жирн. "Гулькевичский" вес.;кг;0;Творог;0;ТУ РСФСР 21-152-89;;;1
Творог 18% жирн. весовой;кг;0;Творог;0;ТУ 9222-180-00419 785-99;;;1
Молоко цельное сгущенное с сахаром во флягах;кг;0;Сгущенное молоко;0;ГОСТ 2903-78;;;1
Прод. сгущенный с сах. 8,5% жирн. вес.;шт;0;Сгущенное молоко;0;ТУ 9226-026-13870 642-05;;;1
Прод. сгущенный с сах. 8,5% жирн. в п/с 200 гр.;шт;0;Сгущенное молоко;0;ТУ 9226-026-13870 642-05;;;1
Майонез "Кубанский" весовой;кг;0;Майонез;0;ГОСТ 30004.1-93;;;1
Майонез "Кубанский" в полист. стаканчиках 250 гр.;шт;0;Майонез;0;ГОСТ 30004.1-93;;;1
Майонез "Кубанский" ведро 1 кг;шт;0;Майонез;0;ГОСТ 30004.1-93;;;1
Молоко сухое обезжиренное;кг;0;Молоко;0;ГОСТ 10970-87;;;1
Молоко цельное сухое 25% жирности;кг;0;Молоко;0;ГОСТ 4495-87;;;1
мед цветочный (луговое разнотравье);кг;0;Мед;144;;;;1
мед лесной;кг;0;Мед;153;;;;1
мед цветочно-гречишный;кг;0;Мед;198;;;;1
мед цветочно-липовый;кг;0;Мед;360;;;;1
мед  акации;кг;0;Мед;396;;;;1
крем-мед;кг;0;Мед;153;;;;1
мед с прополисом;кг;0;Мед;216;;;;1
мед с пергой;кг;0;Мед;315;;;;1
мед с пыльцой;кг;0;Мед;315;;;;1
КАКАО-ПОРОШОК ДЛЯ ПРОМЫШЛЕННОЙ ПЕРЕРАБОТКИ ВЕЛЛА МОЛОТАЯ;шт;0;Какао-порошок;0;;МЕШОК 25кг ;;1
КАКАО-ПОРОШОК НАТУРАЛЬНЫЙ, ЖИРНОСТЬ 11.4%, pH 5.8;шт;0;Какао-порошок;0;;МЕШОК 25кг;;1
